Crystal16 Data Report File,Version: 1014,,,,,,,
,,,,,,,,
,,,,,,,,
Experiment details,,,,,,,,
ExperimentNumber,0,,,,,,,
Experimentor,Mona,,,,,,,
Project,"MA-Polyvinylpyrrolidone-1,2,dichloroethane-Chlorobenzene-Nitrobenzene-n-Butyl Acetate",,,,,,,
Reactor1,"15.14 mg/ml Polyvinylpyrrolidone in 1,2,dichloroethane",2-dichloroethane,,,,,,
Reactor2,15.18 mg/ml Polyvinylpyrrolidone in Chlorobenzene,,,,,,,
Reactor3,14.8 mg/ml Polyvinylpyrrolidone in Nitrobenzene,,,,,,,
Reactor4,15.16 mg/ml Polyvinylpyrrolidone in n-Butyl Acetate,,,,,,,
,,,,,,,,
Labjournal,,,,,,,,
,,,,,,,,
,,,,,,,,
Description,,,,,,,,
polymer_ids,Polyvinylpyrrolidone:32,,,,,,,
solvent_ids,"1,2,dichloroethane:37",Chlorobenzene:10,Nitrobenzene:9,n-Butyl Acetate:40,,,,
Start of Experiment,1/25/24 12:23,,,,,,,
,,,,,,,,
Temperature Program,,,,,,,,
Block,C,,,,,,,
Heat to,20, at ,20, °C/min,,,,
Hold at,20, for ,16, sec,,,,
Tune,,,,,,,,
1/25/24 12:28,0:04:34,20,20,100,92,100,15,0
1/25/24 12:28,0:04:35,20,20,100,100,100,16,0
1/25/24 12:28,0:04:37,20,20,100,100,100,14,0
1/25/24 12:28,0:04:38,20,20,100,82,100,15,0
1/25/24 12:28,0:04:39,20.1,20,100,90,100,13,0
1/25/24 12:28,0:04:40,20.1,20,100,81,100,12,0
1/25/24 12:28,0:04:41,20.1,20,100,85,100,14,0
1/25/24 12:28,0:04:42,20.1,20,100,89,100,14,0
1/25/24 12:28,0:04:43,20.1,20,100,97,100,14,0
1/25/24 12:28,0:04:44,20.1,20,100,100,100,14,0
1/25/24 12:28,0:04:45,20.1,20,100,94,100,13,0
1/25/24 12:28,0:04:46,20.1,20,100,92,100,13,0
1/25/24 12:28,0:04:47,20.1,20,100,95,100,13,0
1/25/24 12:28,0:04:48,20.1,20,100,100,100,13,0
1/25/24 12:28,0:04:49,20.1,20,100,92,100,13,0
1/25/24 12:28,0:04:50,20.1,20,100,90,100,14,0
1/25/24 12:28,0:04:51,20.2,20,100,79,100,14,0
1/25/24 12:28,0:04:52,20.2,20,100,90,100,12,0
1/25/24 12:28,0:04:53,20.2,20.1,100,85,100,13,0
1/25/24 12:28,0:04:54,20.2,20.1,100,89,100,14,0
1/25/24 12:28,0:04:55,20.2,20.1,100,95,100,14,0
1/25/24 12:28,0:04:56,20.2,20.1,100,96,100,12,0
1/25/24 12:28,0:04:57,20.2,20.1,100,87,100,13,0
1/25/24 12:28,0:04:58,20.2,20.1,100,94,100,13,0
1/25/24 12:28,0:04:59,20.2,20.1,100,100,100,12,0
1/25/24 12:28,0:05:00,20.2,20.1,100,99,100,11,0
1/25/24 12:28,0:05:01,20.2,20.1,100,97,100,13,0
1/25/24 12:28,0:05:02,20.3,20.1,100,99,100,12,0
1/25/24 12:28,0:05:03,20.3,20.1,100,100,100,12,0
1/25/24 12:28,0:05:04,20.3,20.1,100,100,100,12,0
1/25/24 12:28,0:05:05,20.3,20.2,100,97,100,12,0
1/25/24 12:28,0:05:06,20.3,20.2,100,99,100,12,0
1/25/24 12:28,0:05:07,20.3,20.2,100,94,100,12,0
1/25/24 12:28,0:05:08,20.3,20.2,100,95,100,12,0
1/25/24 12:28,0:05:09,20.3,20.2,100,100,100,12,0
1/25/24 12:28,0:05:10,20.3,20.2,100,97,100,12,0
1/25/24 12:28,0:05:11,20.3,20.2,100,97,100,11,0
1/25/24 12:28,0:05:12,20.3,20.2,100,88,100,11,0
1/25/24 12:28,0:05:13,20.3,20.2,100,94,100,12,0
1/25/24 12:28,0:05:14,20.4,20.2,100,91,100,11,0
1/25/24 12:28,0:05:15,20.4,20.2,100,89,100,11,0
1/25/24 12:28,0:05:16,20.4,20.2,100,88,100,12,0
1/25/24 12:28,0:05:17,20.4,20.2,100,92,100,11,0
1/25/24 12:28,0:05:18,20.4,20.3,100,92,100,12,0
1/25/24 12:28,0:05:19,20.4,20.3,100,89,100,12,0
1/25/24 12:28,0:05:20,20.4,20.3,100,96,100,11,0
1/25/24 12:28,0:05:21,20.4,20.3,100,87,100,11,0
1/25/24 12:28,0:05:22,20.4,20.3,100,89,100,11,0
1/25/24 12:28,0:05:23,20.4,20.3,100,97,100,12,0
1/25/24 12:28,0:05:24,20.4,20.3,100,90,100,12,0
1/25/24 12:28,0:05:25,20.4,20.3,100,90,100,11,0
